0,1,2,3,4
4.0,,0,0,
36.0,,0,0,
3.0,,0,0,
6.0,,0,0,
212.0,,0,0,
8.0,,0,0,
8.0,,0,0,
15.0,,0,0,
99.0,,0,0,
7.0,,0,0,
16.0,,0,0,
908.0,,0,0,
25.0,,0,0,
25.0,,0,0,
16.304,,1,0,
44.796,,1,0,
53.846,,1,0,
76.19,,1,0,
40.248,,1,0,
31.25,,1,0,
31.25,,1,0,
18.519,,1,0,
45.205,,1,0,
58.333,,1,0,
76.19,,1,0,
43.279,,1,0,
39.683,,1,0,
39.683,,1,0,
55.0,,0,0,
36.0,,0,0,
2.0,,0,0,
6.0,,0,0,
8.0,,0,0,
2.0,,0,0,
6.0,,0,0,
10.0,,0,0,
84.0,,0,0,
5.0,,0,0,
162.0,,0,0,
8.0,,0,0,
12.676,,1,0,
34.855,,1,0,
33.333,,1,0,
5.552,,1,0,
14.545,,1,0,
18.519,,1,0,
41.584,,1,0,
33.333,,1,0,
14.223,,1,0,
22.222,,1,0,
63.0,,0,0,
50.0,,0,0,
3.0,,0,0,
3.0,,0,0,
4.0,,0,0,
10.0,,0,0,
3.0,,0,0,
3.0,,0,0,
4.0,,0,0,
8.0,,0,0,
86.0,,0,0,
1.0,,0,0,
1.0,,0,0,
212.0,,0,0,
10.0,,0,0,
11.268,,1,0,
33.992,,1,0,
16.667,,1,0,
10.0,,1,0,
8.067,,1,0,
15.873,,1,0,
14.815,,1,0,
35.102,,1,0,
20.0,,1,0,
20.0,,1,0,
18.229,,1,0,
20.0,,1,0,
80.0,,0,0,
